data_path, num_vehicle, carbon_heu1, reject_heu1, carbon_heu2, reject_heu2, carbon_heu3, reject_heu3, carbon_heu4, reject_heu4, carbon_heu5, reject_heu5, carbon_heu6, reject_heu6
h100r101.csv,5,797.8015188831941,85, 975.8211975892223,76, 847.5657205168551,83, 822.4916449034117,81, 879.4992098020595,82, 802.156623356684,81
h100r101.csv,10,1437.6494829380522,75, 1772.6856565273717,53, 1591.8336645658042,73, 1828.026262552039,51, 1623.7671538510085,72, 1661.8585309333257,51
h100r102.csv,3,820.5593464157438,72, 913.4303929464493,47, 858.118642911382,71, 754.7887735286123,71, 1035.939034657489,51, 1048.3117072851455,56
h100r102.csv,5,1087.0882759155684,58, 1556.968295442442,34, 1331.6083762054286,51, 1429.2554656700654,51, 1464.854691660834,37, 1024.9480346467944,62
h100r102.csv,10,2098.002449212596,23, 2186.4516173507254,31, 2356.4024438234437,1, 2231.223574028479,25, 2478.590607593344,2, 2773.9330595503147,1
h100r103.csv,3,971.921528525067,35, 1050.8572071348503,35, 918.9092320407316,56, 805.1580697965063,56, 989.2646001295561,32, 1096.5695140192013,35
h100r103.csv,5,1490.7812070798657,0, 1770.2202590689694,24, 1278.3833909885334,40, 1284.3261596159389,26, 1451.3200167271164,18, 1469.05715009803,26
h100r103.csv,10,1490.7812070798657,0, 2647.835168420903,0, 2253.3901125662737,0, 2478.0923738301176,1, 1924.2619319059725,0, 2464.0449410621723,0
h100r104.csv,3,1052.1374430646006,34, 1172.4398998817599,9, 1059.3981362460086,39, 1126.4116180936348,14, 1111.2943428842825,33, 1397.905255731711,0
h100r104.csv,5,1445.6214637122564,16, 1781.3249792760912,0, 1390.0656264213228,21, 1405.2196445261882,21, 1506.4936134367438,15, 1729.5994233174818,0
h100r104.csv,10,1817.2958121467648,0, 2632.0936331712446,0, 1817.9609625507505,0, 2610.370656496221,0, 1882.7548235213044,0, 2810.5114401513338,0
h100r105.csv,3,677.1580288940294,84, 904.517116798725,53, 511.1856620535517,88, 791.6861681303155,71, 581.990043714044,83, 776.663245671705,71
h100r105.csv,5,905.8907407763688,80, 1231.1257975713838,51, 758.6624893830274,84, 1482.3944256452357,56, 826.9122644530216,81, 1210.4893928113024,56
h100r105.csv,10,1755.9876801423961,70, 1994.6307314349874,45, 1492.9433304742909,74, 2038.9228823314063,34, 1436.1772096626487,76, 2066.203210837133,34
h100r106.csv,3,1007.8553784935079,62, 967.8958702186197,67, 848.4164098312042,62, 685.5227847939276,74, 1176.4881368813876,46, 1193.8600584604105,52
h100r106.csv,5,1418.0268045915616,46, 1313.954876478751,34, 1310.2658199641257,36, 1232.744448662341,46, 1519.3082292586023,34, 1470.3470532748943,33
h100r106.csv,10,2361.8471237052217,6, 2258.7827570472823,16, 1973.0825715739877,0, 1936.3643675821772,41, 2543.789082109635,4, 2410.0872174365095,0
h100r107.csv,3,1267.7553750133768,40, 1153.7082186280045,26, 871.2243982845307,74, 686.9596494398799,74, 1104.2192699624563,31, 1124.3845388917882,26
h100r107.csv,5,1674.2981736843137,24, 1602.7540578876722,18, 1390.3900617395516,62, 1084.5382090836827,71, 1498.9857870251333,19, 1826.0431266031833,8
h100r107.csv,10,2325.9985719913448,0, 2491.5164431691146,13, 2321.831603363669,32, 2276.5602193915906,0, 2158.966835147014,0, 2759.3175658335813,0
h100r108.csv,3,1230.0750225976487,32, 1397.2549139943512,2, 747.3299180629372,68, 711.0678501336056,77, 997.2334212957328,35, 1381.9693041187063,0
